Category,total
advertising,3775
analytics,749
automotive,113
biotech,2536
cleantech,1002
consulting,2844
design,109
ecommerce,5050
education,1198
enterprise,2775
fashion,296
finance,707
games_video,2935
government,22
hardware,1560
health,649
hospitality,289
legal,374
local,200
manufacturing,308
medical,500
messaging,204
mobile,3941
music,203
nanotech,47
network_hosting,1351
news,309
nonprofit,119
other,4809
pets,37
photo_video,205
public_relations,1599
real_estate,234
search,1011
security,683
semiconductor,469
social,687
software,11481
sports,170
transportation,137
travel,350
web,8054